KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,sleeve,count
0,1,315,0,1,1,1,30014191,1
0,1,315,0,1,1,1,30014140,1
0,1,316,0,1,1,1,30013873,1
0,1,316,0,1,1,1,30013876,1
0,1,316,0,1,1,1,30013874,1
0,1,316,0,1,1,1,30014189,1
0,1,316,0,1,1,1,30014190,1
0,1,316,0,1,1,1,30014193,1
0,1,316,0,1,1,1,30014192,1
0,1,316,0,1,1,1,30014143,1
0,1,316,0,1,1,1,30014140,1
0,1,316,0,1,1,1,30014191,1
0,1,348,0,1,1,1,30014811,11
0,1,348,0,1,1,1,30014814,9
0,1,348,0,1,1,1,30014825,9
0,1,348,0,1,1,1,30014819,9
0,1,348,0,1,1,1,30014812,9
0,1,348,0,1,1,1,30014824,9
0,1,348,0,1,1,1,30014815,2
0,1,348,0,1,1,1,30014821,2
0,1,348,0,1,1,1,30014817,2
0,1,348,0,1,1,1,30014807,2
0,1,348,0,1,1,1,30014808,2
0,1,348,0,1,1,1,30014809,2
0,1,348,0,1,1,1,30014804,2
0,1,348,0,1,1,1,30014810,2
0,1,349,0,1,-1,1,30014815,1
0,1,349,0,1,-1,1,30014817,1
0,1,349,0,1,-1,1,30014821,1
0,1,349,0,1,-1,1,30014807,1
0,1,349,0,1,-1,1,30014808,1
0,1,349,0,1,-1,1,30014809,1
0,1,349,0,1,-1,1,30014804,1
0,1,349,0,1,-1,1,30014810,1
0,1,349,0,1,-1,1,30014811,1
0,1,353,0,1,-1,1,30014817,1
0,1,353,0,1,-1,1,30014807,1
0,1,353,0,1,-1,1,30014809,1
0,1,353,0,1,-1,1,30014810,1
0,1,353,0,1,-1,1,30014811,1
0,1,353,0,1,1,1,30014815,1
0,1,353,0,1,1,1,30014821,1
0,1,353,0,1,1,1,30014808,1
0,1,353,0,1,1,1,30014804,1
0,1,355,0,1,-1,1,30014817,1
0,1,355,0,1,-1,1,30014807,1
0,1,355,0,1,-1,1,30014808,1
0,1,355,0,1,-1,1,30014811,1
0,1,355,0,1,-1,1,30014810,1
0,1,355,0,1,1,1,30014821,1
0,1,355,0,1,1,1,30014815,1
0,1,355,0,1,1,1,30014809,1
0,1,355,0,1,1,1,30014804,1
0,1,526,0,1,-1,-1,30014821,1
0,1,526,0,1,-1,-1,83898,1
0,1,526,0,1,-1,-1,30014817,1
0,1,526,0,1,-1,-1,30014825,1
0,1,526,0,1,-1,-1,30014810,1
0,1,526,0,1,-1,-1,30014808,1
0,1,526,0,1,-1,-1,30014824,1
0,1,556,0,-1,1,1,30014825,2
0,1,556,0,-1,1,1,30014812,2
0,1,556,0,-1,1,1,30014811,1
0,1,556,0,-1,1,1,30014819,1
0,1,556,0,-1,1,1,30014824,1
0,1,556,0,1,1,1,30014814,2
0,1,556,0,1,1,1,30014811,1
0,1,556,0,1,1,1,30014819,1
0,1,556,0,1,1,1,30014824,1
0,1,557,0,-1,1,-1,30014814,1
0,1,557,0,-1,1,-1,30014811,1
0,1,557,0,-1,1,-1,30014819,1
0,1,557,0,-1,1,-1,30014824,1
0,1,557,0,-1,1,-1,30014825,1
0,1,557,0,-1,1,-1,30014812,1
0,1,558,0,-1,1,-1,30014811,1
0,1,558,0,-1,1,-1,30014819,1
